time, %usr, %sys, %iowait, %irq, %soft, %idle
02:53:31, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:32, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:33, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:34, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:35, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:36, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:37, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:38, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:39, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:40, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:41, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:42, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:43, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:44, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:45, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:46, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:47, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:48, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:49, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:50, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:51, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:52, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:53, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:54, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:55, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:56, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:57, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:58, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:53:59, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:00, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:01, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:02, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:03, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:04, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:05, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:06, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:07, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:08, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:09, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:10, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:11, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:12, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:13, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:14, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:15, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:16, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:17, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:18, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:19, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:20, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:21, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:22, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:23, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:24, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:25, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:26, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:27, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:28, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:29, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:30, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:31, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:32, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:33, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:34, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:35, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:36, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:37, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:38, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:39, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:40, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:41, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:42, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:43, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:44, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:45, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:47, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:48, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:49, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:50, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:51, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:52, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:53, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:54, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:55, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:56, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:57, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:58, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:54:59, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:00, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:01, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:02, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:03, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:04, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:05, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:06, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:07, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:08, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:09, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:10, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:11, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:12, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:13, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:14, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:15, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:16, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:17, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:18, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:19, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:20, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:21, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:22, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:23, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:24, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:25, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:26, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:27, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:28, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:29, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:30, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:31, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:32, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:33, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:34, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:35, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:36, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:37, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:38, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:39, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:40, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:41, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:42, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:43, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:44, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:55:45, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
