time, %usr, %sys, %iowait, %irq, %soft, %idle
02:09:43, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:44, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:45, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:46, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:47, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:48, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:49, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:50, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:51, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:09:52, 28.28, 0.00, 0.00, 0.00, 0.00, 71.72
02:09:53, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:09:54, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:09:55, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:09:56, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:09:57, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:09:58, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:09:59, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:01, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:02, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:03, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:04, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:05, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:06, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:07, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:08, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:09, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:10, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:11, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:12, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:13, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:14, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:15, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:16, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:17, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:18, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:19, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:20, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:21, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:22, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:23, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:24, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:25, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:26, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:27, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:28, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:29, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:30, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:31, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:32, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:33, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:34, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:35, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:36, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:37, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:38, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:39, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:40, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:41, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:42, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:43, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:44, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:45, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:46, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:47, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:48, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:49, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:50, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:51, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:52, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:53, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:54, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:55, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:56, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:57, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:58, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:10:59, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:01, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:02, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:03, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:04, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:05, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:06, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:07, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:08, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:09, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:10, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:11, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:12, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:13, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:14, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:15, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:16, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:17, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:18, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:19, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:20, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:21, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:22, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:23, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:24, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:25, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:26, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:27, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:28, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:29, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:30, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:31, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:32, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:33, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:34, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:35, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:36, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:37, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:38, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:39, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:40, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:41, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:42, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:43, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:44, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:45, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:46, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:47, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:48, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:49, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:50, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:51, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:52, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:53, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:54, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:55, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:56, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:57, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:58, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:11:59, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:01, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:02, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:03, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:04, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:05, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:06, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:07, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:08, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:09, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:10, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:11, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:12, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:13, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:14, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:15, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:16, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:17, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:18, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:19, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:20, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:21, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:22, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:23, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:24, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:25, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:26, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:27, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:28, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:29, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:12:30, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
