time, %usr, %sys, %iowait, %irq, %soft, %idle
02:49:53, 18.00, 82.00, 0.00, 0.00, 0.00, 0.00
02:49:54, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00
02:49:55, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00
02:49:56, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00
02:49:57, 21.00, 79.00, 0.00, 0.00, 0.00, 0.00
02:49:58, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00
02:49:59, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00
02:50:00, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00
02:50:01, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00
02:50:02, 3.09, 63.92, 0.00, 0.00, 0.00, 32.99
02:50:03, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:04, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:05, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:06, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:07, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:08, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:09, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:10, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:11, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:12, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:13, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:14, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:15, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:16, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:17, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:18, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:19, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:20, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:21, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:22, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:23, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:24, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:25, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:26, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:27, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:28, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:29, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:30, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:31, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:32, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:50:33, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
