time, %usr, %sys, %iowait, %irq, %soft, %idle
02:15:18, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:19, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:20, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:21, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:22, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:23, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:24, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:25, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:26, 0.00, 0.00, 0.00, 0.00, 0.00, 100.00
02:15:27, 67.00, 0.00, 0.00, 0.00, 0.00, 33.00
02:15:28, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:29, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:30, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:31, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:32, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:33, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:34, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:35, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:36, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:37, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:38, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:39, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:40, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:41, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:42, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:43, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:44, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:45, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:46, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:47, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:48, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:49, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
02:15:50, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00
